broker_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	COMMON_NAME	ENA-STUDY	ENA-EXPERIMENT	ENA-RUN	ENA-SUBMISSION	ARRAYEXPRESS	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	source_name	tissue	risk-group	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
NCBI	SRS3013172	SAMN08630678	GSM3029039	CC01	9606	Homo sapiens	human	SRP133830	SRX3757558	SRR6798697	SRA663820	E-GEOD-111354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013172&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013172&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Human Skin Biopsy	skin	Low-Risk	38009139	7601827800	2021-03-03	2021-03-03
NCBI	SRS3013171	SAMN08630679	GSM3029038	S5	9606	Homo sapiens	human	SRP133830	SRX3757557	SRR6798696	SRA663820	E-GEOD-111354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013171&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013171&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Human Skin Biopsy	skin	Low-Risk	38255289	7651057800	2021-03-03	2021-03-03
NCBI	SRS3013170	SAMN08630680	GSM3029037	S2A	9606	Homo sapiens	human	SRP133830	SRX3757556	SRR6798695	SRA663820	E-GEOD-111354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013170&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013170&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Human Skin Biopsy	skin	Low-Risk	40825151	8165030200	2021-03-03	2021-03-03
NCBI	SRS3013175	SAMN08630681	GSM3029043	TS11	9606	Homo sapiens	human	SRP133830	SRX3757562	SRR6798701	SRA663820	E-GEOD-111354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013175&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013175&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Human Skin Biopsy	skin	Low-Risk	39353200	7870640000	2021-03-03	2021-03-03
NCBI	SRS3013177	SAMN08630682	GSM3029042	CC05	9606	Homo sapiens	human	SRP133830	SRX3757561	SRR6798700	SRA663820	E-GEOD-111354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013177&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013177&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Human Skin Biopsy	skin	Low-Risk	38575602	7715120400	2021-03-03	2021-03-03
NCBI	SRS3013169	SAMN08630683	GSM3029036	S1A	9606	Homo sapiens	human	SRP133830	SRX3757555	SRR6798694	SRA663820	E-GEOD-111354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013169&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013169&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Human Skin Biopsy	skin	Low-Risk	33938959	6787791800	2021-03-03	2021-03-03
NCBI	SRS3013167	SAMN08630684	GSM3029035	TS5	9606	Homo sapiens	human	SRP133830	SRX3757554	SRR6798693	SRA663820	E-GEOD-111354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013167&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013167&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Human Skin Biopsy	skin	Low-Risk	54224096	10844819200	2021-03-03	2021-03-03
NCBI	SRS3013188	SAMN08630685	GSM3029034	NSCC03	9606	Homo sapiens	human	SRP133830	SRX3757553	SRR6798692	SRA663820	E-GEOD-111354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013188&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013188&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Human Skin Biopsy	skin	Normal Skin	40310168	8062033600	2021-03-03	2021-03-03
NCBI	SRS3013166	SAMN08630686	GSM3029033	NS20	9606	Homo sapiens	human	SRP133830	SRX3757552	SRR6798691	SRA663820	E-GEOD-111354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013166&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013166&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Human Skin Biopsy	skin	Normal Skin	41802659	8360531800	2021-03-03	2021-03-03
NCBI	SRS3013168	SAMN08630687	GSM3029032	NS1	9606	Homo sapiens	human	SRP133830	SRX3757551	SRR6798690	SRA663820	E-GEOD-111354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013168&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013168&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Human Skin Biopsy	skin	Normal Skin	42441760	8488352000	2021-03-03	2021-03-03
NCBI	SRS3013186	SAMN08630722	GSM3029054	TS22	9606	Homo sapiens	human	SRP133830	SRX3757573	SRR6798712	SRA663820	E-GEOD-111354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013186&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013186&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Human Skin Biopsy	skin	High-Risk	60657365	12131473000	2021-03-03	2021-03-03
NCBI	SRS3013185	SAMN08630723	GSM3029053	TS20	9606	Homo sapiens	human	SRP133830	SRX3757572	SRR6798711	SRA663820	E-GEOD-111354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013185&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013185&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Human Skin Biopsy	skin	High-Risk	59296153	11859230600	2021-03-03	2021-03-03
NCBI	SRS3013184	SAMN08630724	GSM3029052	TS18	9606	Homo sapiens	human	SRP133830	SRX3757571	SRR6798710	SRA663820	E-GEOD-111354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013184&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013184&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Human Skin Biopsy	skin	High-Risk	54071120	10814224000	2021-03-03	2021-03-03
