center_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	COMMON_NAME	DESCRIPTION	ENA-STUDY	ENA-EXPERIMENT	ENA-RUN	ENA-SUBMISSION	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	collection date	environment (biome)	environment (feature)	environment (material)	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	host body site	host disease status	human-associated environmental package	investigation type	project name	sequencing method	ENA-CHECKLIST	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
Universidade Federal do ABC	ERS1421313	SAMEA4522134	LP08-S1-ITS_S11_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP08-S1-ITS_S11_L001_R1_001	ERP018577	ERX1771504	ERR1701216	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421313&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421313&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Scalp	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	216143	32342977	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421314	SAMEA4522135	LP08-T1-ITS_S12_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP08-T1-ITS_S12_L001_R1_001	ERP018577	ERX1771505	ERR1701217	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421314&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421314&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Forehead	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	120420	19104790	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421315	SAMEA4522136	LP10-S1-ITS_S13_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP10-S1-ITS_S13_L001_R1_001	ERP018577	ERX1771506	ERR1701218	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421315&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421315&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Scalp	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	274750	26836535	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421316	SAMEA4522137	LP10-T1-ITS_S14_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP10-T1-ITS_S14_L001_R1_001	ERP018577	ERX1771507	ERR1701219	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421316&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421316&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Forehead	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	193752	29985254	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421317	SAMEA4522138	LP12-S1-ITS_S15_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP12-S1-ITS_S15_L001_R1_001	ERP018577	ERX1771508	ERR1701220	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421317&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421317&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Scalp	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	385177	36423194	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421318	SAMEA4522139	LP12-T1-ITS_S16_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP12-T1-ITS_S16_L001_R1_001	ERP018577	ERX1771509	ERR1701221	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421318&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421318&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Forehead	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	196319	24096369	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421319	SAMEA4522140	LP14-S1-ITS_S17_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP14-S1-ITS_S17_L001_R1_001	ERP018577	ERX1771510	ERR1701222	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421319&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421319&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Scalp	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	267252	25249467	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421320	SAMEA4522141	LP14-T1-ITS_S18_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP14-T1-ITS_S18_L001_R1_001	ERP018577	ERX1771511	ERR1701223	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421320&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421320&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Forehead	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	279219	48216171	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421321	SAMEA4522142	LP15-S1-ITS_S19_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP15-S1-ITS_S19_L001_R1_001	ERP018577	ERX1771512	ERR1701224	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421321&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421321&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Scalp	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	250404	51975148	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421322	SAMEA4522143	LP15-T1-ITS_S20_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP15-T1-ITS_S20_L001_R1_001	ERP018577	ERX1771513	ERR1701225	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421322&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421322&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Forehead	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	233971	30772697	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421323	SAMEA4522144	LP16-S1-ITS_S21_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP16-S1-ITS_S21_L001_R1_001	ERP018577	ERX1771514	ERR1701226	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421323&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421323&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Scalp	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	287421	37815793	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421324	SAMEA4522145	LP16-T1-ITS_S22_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP16-T1-ITS_S22_L001_R1_001	ERP018577	ERX1771515	ERR1701227	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421324&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421324&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Forehead	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	146655	22608497	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421325	SAMEA4522146	LP19-S1-ITS_S23_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP19-S1-ITS_S23_L001_R1_001	ERP018577	ERX1771516	ERR1701228	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421325&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421325&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Scalp	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	323058	50944154	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421326	SAMEA4522147	LP19-T1-ITS_S24_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP19-T1-ITS_S24_L001_R1_001	ERP018577	ERX1771517	ERR1701229	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421326&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421326&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Forehead	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	204420	28123384	2016-12-23	2016-10-23
